tau_carbon_memory_myr,tau_regolith_recovery_myr,regolith_erosion_rate,bedrock_ice_gain,delta10_temperature_k,delta200_temperature_k,ablated10_temperature_k,delta10_ice_fraction,delta200_ice_fraction,ablated10_ice_fraction,delta10_co2_ppm,delta200_co2_ppm,ablated10_co2_ppm,delta10_productivity,delta200_productivity,ablated10_productivity
12.139244620058346,736.8062997280774,0.03,0.5,0.028590745219398528,1.41239102324775e-06,7.862927198232228e-09,0.00026919251208762374,5.362026980204604e-07,2.773858920335215e-11,6.822577799696944,0.00016750621145433797,1.695833191206475e-06,0.004201649436336344,2.6395133387313585e-07,1.1308683156574517e-09
12.139244620058346,1213.9244620058346,0.03,0.5,0.02837931885752165,1.5876401606718105e-06,7.862927198232228e-09,0.0002724260152591196,6.01363617791506e-07,2.773858920335215e-11,6.76697296708906,0.0001868897226415811,1.695833191206475e-06,0.004171236150672206,2.9657148706285774e-07,1.1308683156574517e-09
12.139244620058346,2000.0,0.03,0.5,0.02824875857014164,1.7038508153266463e-06,7.862927198232228e-09,0.0002743785804069643,6.445028022938892e-07,2.773858920335215e-11,6.732667373809392,0.0001996715298844265,1.695833191206475e-06,0.004152450554032794,3.1819564952351165e-07,1.1308683156574517e-09
20.000000000000004,5.0,0.03,0.5,0.00991098222291753,2.062022887994175e-07,7.862927198232228e-09,2.1874840745006452e-05,8.070191737097332e-10,2.773858920335215e-11,2.315121921722948,5.404295484368049e-05,1.695833191206475e-06,0.0014069371412299136,3.158134828651349e-08,1.1308683156574517e-09
20.000000000000004,8.237744862210329,0.03,0.5,0.009024510361840266,1.8873896046045502e-07,7.862927198232228e-09,8.479410709583135e-06,6.951753062089949e-10,2.773858920335215e-11,2.1189521905921254,4.951382194917642e-05,1.695833191206475e-06,0.001280242184430888,2.8897679610340177e-08,1.1308683156574517e-09
20.000000000000004,13.572088082974531,0.03,0.5,0.007534379938430202,1.5836069366947925e-07,7.862927198232228e-09,1.273360167863835e-06,5.374834466387313e-10,2.773858920335215e-11,1.776440678660748,4.159468940656552e-05,1.695833191206475e-06,0.0010684591628595669,2.4236984780268145e-08,1.1308683156574517e-09
20.000000000000004,22.360679774997894,0.03,0.5,0.005443396739252648,1.1300019231441638e-07,7.862927198232228e-09,1.4454111158690441e-05,3.5065939041345473e-10,2.773858920335215e-11,1.2691364975758859,2.971681635699497e-05,1.695833191206475e-06,0.0007735377728594756,1.7287337977789363e-08,1.1308683156574517e-09
20.000000000000004,36.84031498640386,0.03,0.5,0.0030805431157439056,5.8122838542118416e-08,7.862927198232228e-09,5.049340781498879e-05,1.2249598002611606e-09,2.773858920335215e-11,0.6719846360712154,1.3970488083714372e-05,1.695833191206475e-06,0.00044214944297041314,9.007248641390575e-09,1.1308683156574517e-09
20.000000000000004,60.696223100291725,0.03,0.5,0.0009306340797807788,3.103145029825782e-08,7.862927198232228e-09,9.291941436745388e-05,1.6206113784278386e-08,2.773858920335215e-11,0.1723725571185355,1.1381291443512964e-05,1.695833191206475e-06,0.00013541437801731226,6.2009351819991565e-09,1.1308683156574517e-09
20.000000000000004,100.0,0.03,0.5,0.001025692788517718,1.1119463816378072e-07,7.862927198232228e-09,0.00012681093067401505,7.611132429863332e-08,2.773858920335215e-11,0.36734884331173134,5.4564863404493735e-05,1.695833191206475e-06,0.00013457066201598422,2.346476521419838e-08,1.1308683156574517e-09
20.000000000000004,164.75489724420657,0.03,0.5,0.0024446289633632823,3.2608821221025153e-07,7.862927198232228e-09,0.00015003064637991725,1.8788546463088807e-07,2.773858920335215e-11,0.7191232876548952,0.00011104482598511822,1.695833191206475e-06,0.00033295489540199896,6.727549131668731e-08,1.1308683156574517e-09
20.000000000000004,271.4417616594907,0.03,0.5,0.003364750992278731,6.254075592959651e-07,7.862927198232228e-09,0.0001647625623122373,3.205953015839036e-07,2.773858920335215e-11,0.9587554151345046,0.00016928015816120023,1.695833191206475e-06,0.000462173122195389,1.2417636494066464e-07,1.1308683156574517e-09
20.000000000000004,447.213595499958,0.03,0.5,0.003972156110094716,9.027517613446889e-07,7.862927198232228e-09,0.00017381882406219962,4.408816782763836e-07,2.773858920335215e-11,1.114864018444507,0.0002168521131977741,1.695833191206475e-06,0.0005513268387379033,1.7728055853871716e-07,1.1308683156574517e-09
