time,eccentricity,obliquity,precession
-21649.000,0.5037675014095728E-01,0.4199052791446872E+00,0.4953191210278520E+00
-21650.000,0.5033071376810881E-01,0.4205980330475296E+00,0.2130551698667267E+00
-21651.000,0.5021100971320582E-01,0.4209781556665918E+00,0.6216276562759591E+01
-21652.000,0.5016503572974516E-01,0.4210310729551525E+00,0.5935203540451024E+01
-21653.000,0.5005135116805620E-01,0.4207440967436747E+00,0.5655205842713725E+01
-21654.000,0.4988818159368259E-01,0.4201108768171058E+00,0.5374461125571270E+01
-21655.000,0.4974924442765961E-01,0.4191401331710440E+00,0.5094563479646004E+01
-21656.000,0.4957309301056673E-01,0.4178404914781142E+00,0.4814552059686224E+01
-21657.000,0.4934043488150760E-01,0.4162329687062726E+00,0.4532375140844350E+01
-21658.000,0.4911651436055010E-01,0.4143499749812426E+00,0.4252143343898990E+01
-21659.000,0.4883686668918735E-01,0.4122288416961822E+00,0.3969800807686293E+01
-21660.000,0.4857956442632246E-01,0.4099132195904165E+00,0.3686110731377464E+01
-21661.000,0.4822764908632772E-01,0.4074633654394632E+00,0.3402792140767771E+01
-21662.000,0.4788082974741288E-01,0.4049335345242625E+00,0.3117740028729811E+01
-21663.000,0.4758070252128815E-01,0.4023905533274788E+00,0.2831410293755074E+01
-21664.000,0.4711493637247071E-01,0.3999049734433738E+00,0.2544411219116113E+01
-21665.000,0.4674362563226635E-01,0.3975402279164547E+00,0.2255582724419350E+01
-21666.000,0.4632315928949421E-01,0.3953657136675935E+00,0.1967556649411978E+01
-21667.000,0.4585087428256632E-01,0.3934500646609320E+00,0.1675853643253911E+01
-21668.000,0.4537624693106612E-01,0.3918455233011076E+00,0.1385530313636504E+01
-21669.000,0.4490471052597310E-01,0.3906054183908153E+00,0.1094794773108916E+01
-21670.000,0.4437330325246212E-01,0.3897737239900694E+00,0.8010820323156933E+00
-21671.000,0.4387089400485160E-01,0.3893721854197240E+00,0.5107119746241562E+00
-21672.000,0.4328333165263692E-01,0.3894200991635293E+00,0.2182367463372152E+00
-21673.000,0.4278225682515059E-01,0.3899201263001564E+00,0.6210343303129196E+01
-21674.000,0.4216959337661951E-01,0.3908504522901169E+00,0.5920201287854422E+01
-21675.000,0.4155479803397930E-01,0.3921863277843298E+00,0.5630777286597237E+01
-21676.000,0.4099219843289331E-01,0.3938847026419441E+00,0.5343938718969019E+01
-21677.000,0.4032100288200880E-01,0.3958842869346257E+00,0.5057535573108788E+01
-21678.000,0.3965282013942324E-01,0.3981257222786037E+00,0.4773052696080699E+01
-21679.000,0.3900156808704884E-01,0.4005374256638499E+00,0.4492992619394949E+01
-21680.000,0.3827988339488993E-01,0.4030410862919264E+00,0.4211402869620872E+01
-21681.000,0.3756352503361451E-01,0.4055672261436020E+00,0.3934679942870405E+01
-21682.000,0.3679355857864938E-01,0.4080443697393689E+00,0.3659984072955346E+01
-21683.000,0.3605900312957316E-01,0.4103995634908685E+00,0.3386641887140753E+01
-21684.000,0.3527816899467435E-01,0.4125784978275992E+00,0.3115356133284950E+01
-21685.000,0.3443068131812885E-01,0.4145240017446324E+00,0.2848317303466336E+01
-21686.000,0.3370877319488194E-01,0.4161864845308721E+00,0.2580847870132155E+01
-21687.000,0.3285631593251881E-01,0.4175331349542290E+00,0.2317271678503897E+01
-21688.000,0.3206075191012352E-01,0.4185305259825756E+00,0.2055031467022812E+01
-21689.000,0.3128838218659749E-01,0.4191558808891750E+00,0.1795175345419199E+01
-21690.000,0.3052357077932174E-01,0.4194056680305362E+00,0.1537878432691078E+01
-21691.000,0.2975278329988046E-01,0.4192739680680618E+00,0.1280618062062124E+01
-21692.000,0.2905516366878910E-01,0.4187731676862518E+00,0.1028837778568269E+01
-21693.000,0.2836982109389059E-01,0.4179273961860004E+00,0.7764885420954695E+00
-21694.000,0.2773672099032331E-01,0.4167639730965210E+00,0.5258471136508724E+00
-21695.000,0.2712677764012822E-01,0.4153238261578958E+00,0.2798896533766175E+00
-21696.000,0.2659754682853033E-01,0.4136599579484704E+00,0.3332856115519078E-01
-21697.000,0.2614610484910037E-01,0.4118211545083082E+00,0.6071183134006859E+01
-21698.000,0.2568369967132525E-01,0.4098671978086522E+00,0.5830034612052908E+01
-21699.000,0.2538339479987920E-01,0.4078615703073148E+00,0.5587184998438956E+01
-21700.000,0.2512981656355700E-01,0.4058603609883103E+00,0.5346506627928252E+01
-21701.000,0.2492169435498598E-01,0.4039222929067103E+00,0.5106058260750665E+01
-21702.000,0.2484776107502582E-01,0.4021027510988599E+00,0.4865218982817439E+01
-21703.000,0.2487662189365354E-01,0.4004461578490944E+00,0.4625958607119669E+01
-21704.000,0.2491616345614206E-01,0.3989949036538766E+00,0.4381787213672839E+01
-21705.000,0.2513063012596594E-01,0.3977824750937335E+00,0.4141412598564308E+01
-21706.000,0.2537978884663559E-01,0.3968307130862625E+00,0.3896476452135593E+01
