panel,group,row_label,replicate_index,value,source_file
Rhodamine B,after resuspending,565.0,40,4022.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,41,4522.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,42,5024.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,43,4846.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,44,5411.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,45,4431.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,46,2569.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,47,2361.0,Fig3-data.xlsx
Rhodamine B,after resuspending,565.0,48,4009.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,1,2401.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,2,3282.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,3,12627.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,4,1855.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,5,3418.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,6,4349.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,7,2130.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,8,7124.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,9,2997.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,10,3965.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,11,9458.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,12,8044.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,13,2457.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,14,2360.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,15,1806.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,16,4123.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,17,5349.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,18,6395.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,19,2405.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,20,1943.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,21,5249.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,22,7802.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,23,2007.0,Fig3-data.xlsx
Rhodamine B,before resuspending,570.0,24,1937.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,25,2041.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,26,2960.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,27,2714.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,28,2254.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,29,3039.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,30,2596.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,31,5074.0,Fig3-data.xlsx
Rhodamine B,after resuspending,570.0,32,6425.0,Fig3-data.xlsx
