obliquity_deg,eccentricity,temperature,ice,co2,regolith,memory,direction,mode
40.0,0.14,-0.02927694168378994,6.944457524774828e-06,216.46310346140092,0.9999645333054087,0.9333406615205028,reverse,M2
40.0,0.15,0.026552853702807824,3.4855365015957277e-06,215.10740154640058,0.9999823110463383,0.9354373023524054,reverse,M2
40.0,0.16,0.08679855991778393,1.699132880658449e-06,213.70070093412951,0.9999914263147267,0.937335455812091,reverse,M2
40.0,0.17,0.15159111078879883,8.034505794110803e-07,212.25207963456404,0.99999595383855,0.93895294467849,reverse,M2
40.0,0.18,0.2210735984659487,3.6802556636147756e-07,210.77149538286235,0.9999981078949671,0.9401973085896692,reverse,M2
40.0,0.19,0.2954026534478584,1.6306391796393504e-07,209.2698113787251,0.9999990276754033,0.9409649686764313,reverse,M2
40.0,0.2,0.3747495482214759,6.977992840271686e-08,207.75881317161736,0.9999992047665495,0.9411404816470851,reverse,M2
40.0,0.0,0.009788389213563748,0.04224982374000761,322.36677541311076,0.13193617914137096,0.2636881808132992,forward,M2P_corrige
40.0,0.01,0.06277285843675595,0.02689887274645703,320.8494297907199,0.13160456578920554,0.2636134935424441,forward,M2P_corrige
40.0,0.02,0.10048261154205701,0.017283757485192484,319.76236052623625,0.13160440118305256,0.263613452620179,forward,M2P_corrige
40.0,0.03,0.13070072081015766,0.011084077793738985,318.8939067471524,0.13160440110134558,0.2636134525977558,forward,M2P_corrige
40.0,0.04,0.15759845567127279,0.007046686395370005,318.1228632555243,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.05,0.1836775199296737,0.004422105975424523,317.37706763887354,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.06,0.21054553730256187,0.00273108791174034,316.610538461714,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.07,0.23927581409910656,0.00165631671111941,315.79292821824083,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.08,0.2705991038354353,0.0009846934699164135,314.90393128602943,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.09,0.30501755335167247,0.0005730496425753936,313.92997510207874,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.1,0.3428781652086798,0.0003260514731543907,312.86209323068215,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.11,0.38442277627144594,0.00018117732662320413,311.6944813918998,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.12,0.4298230207192085,9.821865382218347e-05,310.4234893027084,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.13,0.4792049641415364,5.18937962297506e-05,309.0469122142291,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.14,0.5326663321724932,2.669467336259358e-05,307.5634974541405,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.15,0.5902883627000631,1.3355681523058384e-05,305.97260719281644,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.16,0.6521437870114744,6.491808204776421e-06,304.2739937700037,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.17,0.7183020826616522,3.0621434772082104e-06,302.46765440623824,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.18,0.7888328585814192,1.3999730787989853e-06,300.5537403238734,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.19,0.8638080040621609,6.195705090174481e-07,298.5325019754357,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.2,0.9433030498098381,2.6506154305773467e-07,296.4042574329701,0.1316044011013104,0.2636134525977558,forward,M2P_corrige
40.0,0.0,0.00971011896762883,0.04229457081379074,322.38536668348456,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.01,0.0627728548283778,0.026898885337229003,320.8494386668446,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.02,0.10048261155053216,0.017283757488913136,319.76236053074524,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.03,0.13070072081015366,0.011084077793740191,318.8939067471525,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.04,0.15759845567126313,0.007046686395370135,318.1228632555225,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.05,0.1836775199296642,0.004422105975424619,317.3770676388717,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.06,0.21054553730255185,0.0027310879117404016,316.61053846171205,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
40.0,0.07,0.2392758140990963,0.0016563167111194436,315.7929282182389,0.1316044011013104,0.2636134525977558,reverse,M2P_corrige
